sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
43,{'primary': 'Mister Car Wash'},"[{'freeform': '1435 W River Rd', 'locality': 'Tucson', 'region': 'AZ', 'country': 'US', 'postcode': '85704'}]","{'primary': 'auto_detailing', 'alternate': ['car_wash', 'automotive']}",['https://mistercarwash.com/'],"[""5202931359""]",,,{'names': {}}
44,{'primary': 'Smoothie King'},"[{'freeform': '12520 SW 88th St', 'locality': 'Miami', 'region': 'FL', 'country': 'US', 'postcode': '33186'}]","{'primary': 'smoothie_juice_bar', 'alternate': ['eat_and_drink']}",['https://locations.smoothieking.com/ll/us/fl/miami/12520-sw-88th-st/?utm_source=facebook&utm_medium=social&utm_content=SOCi'],"[""+13055987004""]",,['https://www.facebook.com/108750012523155'],{'names': {}}
45,{'primary': 'Viking Sewing Gallery'},"[{'freeform': '25415 Interstate 45, Ste D', 'locality': 'Spring', 'region': 'TX', 'country': 'US', 'postcode': '77380'}]","{'primary': 'sewing_and_alterations', 'alternate': ['arts_and_crafts', 'fabric_store']}",['http://vikingsewinggallery.com/?utm_source=extnet&utm_medium=yext'],"[""+12816728093""]",,['https://www.facebook.com/105800052312077'],{'names': {}}
46,{'primary': 'Ebowla Gurgaon'},"[{'freeform': 'Signature Tower Crossing, Near Star Mall, Main, Delhi - Jaipur Expy, Sector 30, Gurugram, Haryana 122001', 'locality': 'Gurugram', 'postcode': '122001', 'country': 'IN'}]",{'primary': 'dance_club'},['http://www.clubebowla.com/'],"[""+919382222227""]",,['https://www.facebook.com/112512511876606'],
47,{'primary': 'Cella Café'},"[{'freeform': 'Kurhotel Bad Zell, Kurhausstraße 9', 'locality': 'Bad Zell', 'postcode': '4283', 'region': '4', 'country': 'AT'}]","{'primary': 'cafe', 'alternate': ['restaurant', 'internet_cafe']}",['http://www.kurhotel-badzell.at/cella-cafe'],"[""+4372636365""]",,['https://www.facebook.com/956930584392166'],{'names': {}}
48,{'primary': 'Mike McClaskie - State Farm Insurance Agent'},"[{'freeform': '2810 London Groveport Rd', 'locality': 'Grove City', 'region': 'OH', 'country': 'US', 'postcode': '43123'}]","{'primary': 'auto_insurance', 'alternate': ['home_and_rental_insurance']}",['https://www.grovecitysfins.com/'],"[""6145393333""]",,,{'names': {}}
49,{'primary': 'Code Ninjas'},"[{'freeform': '3300 Princess Anne Rd Ste 739', 'locality': 'Virginia Beach', 'region': 'VA', 'country': 'US', 'postcode': '23456'}]","{'primary': 'education', 'alternate': ['specialty_school', 'b2b_science_and_technology']}",['https://www.codeninjas.com/va-virginia-beach-1?utm_campaign=soci_listings&utm_source=soci&utm_medium=listing&utm_content=va-virginia-beach-1&utm_term=fb'],"[""+17578664652""]",,['https://www.facebook.com/198036551121671'],{'names': {}}
50,{'primary': 'BP'},"[{'freeform': '6749 Ogden Ave', 'locality': 'Berwyn', 'region': 'IL', 'country': 'US', 'postcode': '60402'}]","{'primary': 'gas_station', 'alternate': ['convenience_store', 'shopping']}",['https://map.bp.com/en-US/US/gas-station/berwyn/bp/92621240367496040200100000000000'],"[""+17084849060""]",,['https://www.facebook.com/1967698830110710'],{'names': {}}
51,{'primary': 'Solar Guard Utah'},"[{'freeform': '2550 S Decker lake Blvd Ste 1', 'locality': 'Salt Lake City', 'region': 'UT', 'country': 'US', 'postcode': '84119'}]","{'primary': 'car_window_tinting', 'alternate': ['windows_installation', 'glass_and_mirror_sales_service']}",['http://www.801tint.com/'],"[""+18017380378""]",,['https://www.facebook.com/109283017366332'],{'names': {}}
52,{'primary': 'TeamOlmed Kalmar'},"[{'freeform': 'Malmbrogatan 14', 'locality': 'Kalmar', 'region': 'Kalmar län', 'country': 'SE', 'postcode': '392 35'}]","{'primary': 'medical_research_and_development', 'alternate': ['health_and_medical', 'medical_service_organizations']}",['https://www.1177.se/Kalmar-lan/hitta-vard/kontaktkort/TeamOlmed-Kalmar/'],"[""+46104513302""]",,['https://www.facebook.com/381304739083666'],{'names': {}}
